"87096","","-18","<p>да лучше начни создавать сайт на joomla и всё будет ок! учи joomla! </p>",""
"587433","","-13","<p>Вы должны себе отдавать отчет, что в программировании находится разная публика, чаще всего которая не блистает интеллектом и не умеет программировать. Но, к сожалению, в программировании, как и в жизни, решающим является не талант, а наличии денег.</p>

<p>Java изобрели очень слабые программисты, которые не умели писать код, когда создавали свой язык. Недаром Java считается реинкарнацией Basic.</p>

<p>Java существует лишь по одной причине: туда гиганты софтверной индустрии вбухали большие деньги. А сделали они это также по одной причине, чтобы запустить с шумихой новую ""технологию"", и тем самым отбить пользователей у своих конкурентов. А когда пользователи разберутся, с какой поделкой они имеют дело, будет уже поздно, так как они в свою очередь уже затратили много денег в том числе и на обучение кадров.</p>

<p>Что касается вашего конкретного примера, то лучше всего использовать логическую переменную во внешнем цикле, а в теле цикла или внутри switch устанавливать значение этой переменной.</p>

<p>Что касается Java, то она предоставляет корявую конструкцию с <code>break</code> или <code>continue</code> предложением с меткой, которые просто являются замаскированным <code>goto</code> предложением, только еще более запутанные, чем <code>goto</code> предложение, так как они передают управление не на предложение после помеченного управляющего или иного предложения, а на начало этого управляющего предложения, что <strong>без всяких сомнений</strong>  только запутывает читающего код программиста.</p>

<p>Рассмотрите данный пример кода из оригинальной документации по Java (раздел документации 14.15 The break Statemen)</p>

<pre><code>class Graph {
     int edges[][];
     public Graph(int[][] edges) { this.edges = edges; } 

    public Graph loseEdges(int i, int j) { 
        int n = edges.length;
        int[][] newedges = new int[n][];
        for (int k = 0; k &lt; n; ++k) {
 edgelist: {
             int z;
 search: {
             if (k == i) {
                 for (z = 0; z &lt; edges[k].length; ++z) {
                     if (edges[k][z] == j) break search;
                 }
             } else if (k == j) {
                 for (z = 0; z &lt; edges[k].length; ++z) {
                     if (edges[k][z] == i) break search;
                 }
             } 

            // No edge to be deleted; share this list.
             newedges[k] = edges[k];
             break edgelist; }
 //search 

            // Copy the list, omitting the edge at position z.
             int m = edges[k].length - 1;
             int ne[] = new int[m];
             System.arraycopy(edges[k], 0, ne, 0, z);
             System.arraycopy(edges[k], z+1, ne, z, m-z);
             newedges[k] = ne; }
 //edgelist
         }
         return new Graph(newedges);
     }
 }
</code></pre>

<p>Это просто что-то страшное! Это ""спагетти"" невозможно читать и невозможно понять. Сразу же можно сделать вывод о квалификации разработчиков Java.:)</p>

<p>Недаром Microsoft создала свой язык C#, который по качеству и по стилю резко отличается от Java. C# создавали высококвалифицированные программисты, а Java создавали неучи с завышенным самомнением, которые расплодили точно таких же неучей, которые не умеют писать код.</p>

<p>Итак, надеюсь, вы уже поняли, что в Java есть исковерканное  <strong>goto</strong> предложение, замаскированное под <code>break</code> и <code>continue</code>, которые передают управление, фактически, неизвестно куда, так как интуитивно вы предполагаете, что если надо выйти из управляющего блока, то управление должно быть передано в предложение, которые следует за управляющим блоком, а на самом деле вы видите, что управление передается в начало управляющего блока.</p>

<p>Вот фрагмент код из вышеприведенного примера из документации по Java</p>

<pre><code> edgelist: {
             int z; search: {
             if (k == i) {
                 for (z = 0; z &lt; edges[k].length; ++z) {
                     if (edges[k][z] == j) break search;
                 }
             } else if (k == j) {
                 for (z = 0; z &lt; edges[k].length; ++z) {
                     if (edges[k][z] == i) break search;
                 }
             } 

            // No edge to be deleted; share this list.
             newedges[k] = edges[k];
             break edgelist; }
 //search 
</code></pre>

<p>И куда передает управление предложение?</p>

<pre><code>             break edgelist; }
</code></pre>

<p>Покажите этот код человеку, который ранее не имел дело с Java, и увидите, что он будет в замешательстве.:)</p>

<p>Вы также можете написать, например</p>

<pre><code>Rxit: while ( true )
{
    switch( expression )
    {
        //...
        default: break Exit;
    }
}
</code></pre>

<p>Только не думайте, что цикл <code>while</code> сновав начнет выполняться по второму разу. На самом деле логически это выглядит как будто бы метка стоит после цикла</p>

<pre><code>while ( true )
{
    switch( expression )
    {
        //...
        default: break Exit;
    }
}
Exit:
//...
</code></pre>
",""
"595802","","-13","<p><a href=""http://website-create.ru/web-yroki/sozdanie-saitov-yroki/29-vstavka-dannih-mysql.html"" rel=""nofollow noreferrer"">http://website-create.ru/web-yroki/sozdanie-saitov-yroki/29-vstavka-dannih-mysql.html</a></p>

<p><a href=""http://webiprog.com"" rel=""nofollow noreferrer"">Webiprog :: Bespoke web development company for websites</a></p>
",""
"595804","","-13","<p><a href=""http://www.fandroid.info/podderzhka-razlichnyh-yazykov/"" rel=""nofollow noreferrer"">http://www.fandroid.info/podderzhka-razlichnyh-yazykov/</a></p>

<p><a href=""http://webiprog.com"" rel=""nofollow noreferrer"">Webiprog :: Bespoke web development company for websites</a></p>
",""
"657848","","-11","<p><strong>Я не совсем согласен с тем, как обьяснили другие ответчики.</strong></p>

<p>Для начала: </p>

<p><strong>инкремент</strong> = увеличить (обычно на 1) </p>

<p><strong>Пре-</strong> = изменить переменную ПЕРЕД использованием</p>

<p><strong>Пост-</strong> = увеличить переменную ПОСЛЕ использования</p>

<p>Код </p>

<pre><code>int a = 10;
a += a++;
</code></pre>

<p>по логике должен быть 21.</p>

<p>Вполне логично что должна быть последовательность действий</p>

<ol>
<li><code>а</code> присвоить 10 (инициализация)</li>
<li>используем <code>а</code> (считываем значение 10) и инкрементируем в 11</li>
<li>11(до знака присвоения) + 10(после знака присвоения) = 21</li>
</ol>

<p>Скорее всего на других языках значение будет колебатся между 20 и 21 в зависимости от конкретного языка на котором будешь тестировать(считай, в зависимости от компилятора)</p>

<p>Почему я так думаю? Есть очень интересный пример</p>

<pre><code>int i = 5;
i = ++i + ++i;
</code></pre>

<p>ожидаемое число -- 14.
Потому, что <strong>правильная</strong> последовательность действий будет</p>

<ol>
<li>i = 5 (инициализация)</li>
<li>i = 6</li>
<li>i = 7(это ведь преинкремент! Все преинкременты должны исполнятся до знака присвоения!)</li>
<li>i = 7+7 </li>
</ol>

<p>но на практике, разные компиляторы разных языков будут выдавать разные значения в рамках от 10 до 14 в зависимости от компилятора. Результат компилирования в: </p>

<ul>
<li>C#: 13</li>
<li>Java: 13</li>
<li>C и С++ : 13 и 14 в зависимости от компилятора</li>
<li>Perl: 14</li>
<li>Pawn: 13</li>
<li>PHP: 13</li>
<li>JS: 13</li>
<li>VB: 10</li>
<li>Другие языки легко нагуглить.</li>
</ul>

<p><strong>Потому мой ответ: Это специфика работы компилятора/специфика языка по его спецификации(если там указано)</strong> </p>

<p>[ в случае С# указано ]</p>
",""
"473735","","-11","<p>Я бы советовал начинающим пользоваться <a href=""https://eurobyte.ru/"" rel=""nofollow"">https://eurobyte.ru/</a> т.к. они дают месяц бесплатный, и есть возможность ознакомиться с работой и попробовать свои силы так сказать. Плюс поддержка у них на высоте.</p>
",""
"473734","","-11","<p>timeweb - хороший хостинг и очень выгодный по цене</p>
",""
"530111","","-11","<p>Лично я к примеру, пошел в java из за ЗП, кроссплатформености,схожести на С подобные ЯП, и конечно возможность не особо напрягаясь писать андроид приложения и прочее.</p>
",""
"542725","","-10","<pre><code>var str = ""400"";

var result = str.match( /^[^0]+/i );

alert( result[0] ); // 4
</code></pre>
",""
"1862","","-10","<p>Еще иногда используется для получения несколько более быстрого кода (теория, на практике не проверял). В таких случаях генерится другой программой. Судя по всему, если прирост производительности и есть, близок к нулю.</p>",""
